policy_id,annual_revenue,risk_level,claims_count,claims_amount,earned_premium
B0001,10601588,low,0,668695,8992
B0002,4099834,high,0,699500,13424
B0003,10644581,high,0,104126,12381
B0004,17681412,medium,0,735733,27558
B0005,4564507,low,0,601946,12782
B0006,5299489,low,0,165912,29944
B0007,4182132,low,0,817439,15460
B0008,4440863,high,0,974451,27462
B0009,14435230,medium,0,631121,10983
B0010,8986322,medium,2,118637,22182
B0011,7637448,low,1,907153,10523
B0012,12427391,high,0,617508,17677
B0013,8135580,low,0,26393,18292
B0014,14155197,medium,0,581768,23089
B0015,1144375,high,1,903675,12581
B0016,6713948,low,0,874722,19907
B0017,5229491,low,0,479551,13609
B0018,6183584,high,0,890695,26385
B0019,6911993,medium,1,664467,25771
B0020,19295776,high,0,521397,19375
B0021,2894420,low,1,792425,25414
B0022,8069222,low,1,93650,17957
B0023,18319013,low,0,758685,20955
B0024,12926106,low,0,518196,9220
B0025,7557642,medium,0,904027,21163
B0026,6436526,medium,0,52066,21289
B0027,19573434,low,0,373994,20537
B0028,15387810,medium,0,829374,17810
B0029,1552226,medium,1,16138,17455
B0030,8514782,medium,0,118558,17063
B0031,10669504,low,0,258480,8834
B0032,8707690,high,0,437743,9724
B0033,8003621,high,0,271334,10413
B0034,11429011,high,1,878691,17505
B0035,4803074,low,0,78422,12498
B0036,8416510,medium,0,711058,10105
B0037,13534834,medium,0,606603,10568
B0038,15036865,low,0,29086,17330
B0039,8467133,low,2,934826,24593
B0040,2778244,high,0,125604,12911
B0041,12530145,high,1,887246,26604
B0042,2180859,low,0,119324,24617
B0043,13976357,high,0,476785,8792
B0044,7733214,medium,0,740970,22195
B0045,2980425,low,1,391065,21901
B0046,8441521,low,0,3435,23762
B0047,9077813,medium,1,887937,27494
B0048,8694420,medium,1,839763,26550
B0049,16269936,medium,0,160014,16526
B0050,10850350,high,1,714995,23898
B0051,17399173,low,0,422275,29577
B0052,3941616,high,0,712917,9214
B0053,6604297,medium,0,375601,28803
B0054,16983597,high,0,838821,23346
B0055,19856153,medium,3,839446,8212
B0056,13129980,high,0,426042,9658
B0057,19132313,high,0,292441,20270
B0058,19832613,medium,1,568178,22029
B0059,10636094,high,0,283466,13024
B0060,11815723,low,1,560027,21039
B0061,11337305,high,0,402935,13141
B0062,14608519,high,2,603841,26178
B0063,2079037,low,0,8314,13988
B0064,13341518,medium,1,618119,21777
B0065,5151951,low,0,861596,13578
B0066,4155200,high,0,369802,29935
B0067,18632911,medium,0,863460,23051
B0068,17889252,high,0,822545,11845
B0069,11773427,high,0,641462,19882
B0070,1889694,low,0,146429,22247
B0071,18367564,low,0,229937,19484
B0072,16999863,medium,2,544653,8378
B0073,8695082,medium,0,301173,11293
B0074,10297729,medium,0,263881,27713
B0075,11528922,high,0,393186,29192
B0076,5066981,low,1,729992,19630
B0077,5467801,low,0,609762,21660
B0078,11598073,low,0,340362,24608
B0079,11514237,medium,0,779966,8737
B0080,19960741,low,0,158571,24619
B0081,13463277,low,2,765387,20470
B0082,1693464,low,1,241474,25095
B0083,10107338,medium,1,128692,24117
B0084,2577415,low,0,762790,22779
B0085,5262663,medium,0,701517,26272
B0086,4593824,low,1,973751,25643
B0087,16872628,low,0,390555,29630
B0088,2358356,low,0,172106,15271
B0089,19292935,medium,1,294,25132
B0090,1837566,medium,0,811028,20178
B0091,7642516,low,0,98185,27935
B0092,10545151,high,0,797866,22490
B0093,9483063,medium,0,58382,21863
B0094,9123155,medium,0,300242,9823
B0095,19001197,low,0,528943,14852
B0096,3336798,high,0,607317,21072
B0097,16516252,low,1,308372,19133
