policy_id,property_value,construction_type,claims_count,claims_amount,earned_premium
F0001,3738384,wooden,0,299479,14397
F0002,1404911,mixed,0,133501,13219
F0003,3508164,wooden,2,304094,10310
F0004,4319343,mixed,0,584942,7539
F0005,7174943,rcc,1,369566,7483
F0006,2169070,mixed,0,372078,11371
F0007,1171277,wooden,1,119975,6241
F0008,8351548,wooden,0,353330,10378
F0009,2361212,wooden,0,366378,6765
F0010,6880926,wooden,0,77527,13365
F0011,2603344,rcc,1,348848,8911
F0012,7562865,mixed,0,432601,4403
F0013,7929909,rcc,0,166991,14917
F0014,9113649,rcc,0,96952,7382
F0015,2381710,rcc,0,333260,8163
F0016,3591822,wooden,0,465806,11630
F0017,3057797,wooden,1,433603,4087
F0018,5415239,wooden,0,46015,13350
F0019,4101373,mixed,0,102877,9816
F0020,3800174,wooden,0,277483,9470
F0021,1873420,mixed,1,523165,10276
F0022,7002024,wooden,1,393922,9739
F0023,9881111,wooden,0,496753,8273
F0024,5412903,rcc,0,391670,13573
F0025,3565820,rcc,0,431739,10523
F0026,6834611,rcc,0,287307,9003
F0027,6534448,mixed,1,301763,12038
F0028,7332961,mixed,1,274270,10606
F0029,9369597,wooden,0,589214,6064
F0030,8442510,mixed,0,40633,9315
F0031,8402731,wooden,0,208726,14566
F0032,1944461,mixed,0,3317,4317
F0033,2467256,mixed,0,307124,5502
F0034,5349025,mixed,0,440847,10130
F0035,8112646,rcc,1,367508,11419
F0036,5330972,mixed,1,452558,6042
F0037,9667126,rcc,0,277648,8598
F0038,7934430,rcc,0,419876,14214
F0039,4411647,mixed,0,319532,4118
F0040,8725976,wooden,0,212369,4709
F0041,8098917,wooden,0,579789,7557
F0042,3705421,wooden,1,27043,7250
F0043,6798273,mixed,0,33635,12061
F0044,9795492,wooden,0,210387,12609
F0045,9535640,rcc,0,80691,6603
F0046,7942263,wooden,0,499730,5101
F0047,5652124,mixed,0,93944,8421
F0048,2362516,wooden,0,455796,11857
F0049,3375100,rcc,0,515578,12177
F0050,6227541,mixed,0,39236,10082
F0051,2718562,wooden,0,266294,10658
F0052,3256356,mixed,0,373513,6261
F0053,8215409,mixed,0,528425,12021
F0054,2329785,mixed,0,554280,4508
F0055,8179391,wooden,1,115140,6379
F0056,5299376,mixed,0,175993,12879
F0057,3761642,wooden,0,472585,8752
F0058,5283664,rcc,0,335834,13484
F0059,5881539,wooden,1,296379,9495
F0060,5964948,rcc,1,210047,7209
F0061,3758566,wooden,0,543410,11398
F0062,3328033,mixed,1,286100,10743
F0063,2155933,wooden,0,63879,9648
F0064,9175576,mixed,0,582848,9171
F0065,8166276,rcc,1,372454,11890
F0066,8691332,wooden,0,237268,4324
F0067,8059903,mixed,1,479280,14185
F0068,6441039,rcc,0,507656,14962
F0069,7077234,rcc,0,307268,14775
F0070,1194152,wooden,0,314941,7557
F0071,2928356,rcc,0,437043,7587
F0072,5797927,mixed,0,150823,4151
F0073,4119812,rcc,0,554661,4954
F0074,4800760,rcc,0,122026,8354
F0075,1975112,mixed,0,30270,14563
F0076,5033123,rcc,0,232931,11160
F0077,6414229,rcc,0,65184,13383
F0078,1555839,rcc,1,507532,4687
F0079,1614101,rcc,0,562167,12501
F0080,1449813,mixed,1,311741,13694
F0081,9227489,rcc,0,3626,7127
F0082,6147501,mixed,1,495395,10763
F0083,6121632,rcc,1,208137,7395
F0084,6896721,rcc,1,579678,13005
F0085,1551238,rcc,0,578432,4845
F0086,6895038,rcc,0,144454,5164
F0087,4643488,mixed,0,528313,9904
F0088,9388823,mixed,0,436442,13959
F0089,3895107,mixed,1,341524,9360
F0090,6049425,wooden,0,254043,4354
F0091,8907386,rcc,0,462927,5872
F0092,2017375,rcc,0,388333,6024
F0093,1272544,mixed,1,557749,6817
F0094,1534633,wooden,0,258072,7832
F0095,6276776,rcc,0,565403,12257
F0096,2863907,mixed,0,110084,14713
F0097,2120113,rcc,1,345876,6581
F0098,5592087,rcc,0,473006,13582
F0099,6093388,mixed,2,341701,13322
F0100,7960145,mixed,0,73568,6486
F0101,7015948,rcc,0,58560,13026
F0102,4479664,rcc,0,148866,12418
F0103,5645289,mixed,1,150953,6443
F0104,9893518,rcc,0,226024,12919
F0105,3029341,rcc,0,180775,5036
F0106,4017465,mixed,0,91288,14024
F0107,3402114,rcc,0,471678,14932
F0108,2769617,rcc,0,381164,12684
F0109,3848039,wooden,0,14390,11435
F0110,6369337,mixed,0,497619,5548
F0111,1880432,wooden,0,218547,13335
F0112,9855603,wooden,0,551595,9065
F0113,7227740,wooden,0,227436,10496
F0114,8857997,rcc,0,225121,10183
F0115,8140782,rcc,0,251063,7957
F0116,5884299,wooden,0,24502,7407
F0117,4939625,wooden,0,546774,4639
F0118,2629618,wooden,0,373957,4172
F0119,4374775,rcc,0,228300,9666
F0120,6983359,wooden,1,103920,8354
F0121,8694867,wooden,0,344912,7959
F0122,3568101,mixed,1,587073,12708
F0123,2297776,mixed,0,547026,12714
F0124,8646638,rcc,0,74231,14109
F0125,6697478,mixed,1,73606,6886
F0126,4702590,mixed,0,486517,6164
F0127,6447483,mixed,0,303806,14121
F0128,9018205,rcc,1,380457,7945
F0129,5928476,mixed,0,227369,9235
F0130,4886613,rcc,0,493896,14401
F0131,5010442,wooden,0,156688,11746
F0132,4304860,mixed,0,495898,6590
F0133,9722856,rcc,0,273326,11754
F0134,9096297,mixed,1,455229,8934
F0135,6720673,wooden,0,162403,8076
F0136,1661440,rcc,0,26128,9185
F0137,2193502,rcc,0,31556,5093
F0138,8014511,rcc,0,258470,7880
F0139,9022417,wooden,0,140021,14686
F0140,4329782,wooden,0,576250,10559
F0141,7856825,wooden,0,517200,14771
F0142,6116176,rcc,0,202278,14680
F0143,1381325,wooden,2,548387,6785
F0144,1963544,mixed,0,235943,10065
F0145,3426062,wooden,0,183683,10539
F0146,9209517,rcc,1,315288,14950
F0147,8495095,mixed,1,196292,5574
F0148,7030613,wooden,2,532125,9676
F0149,9994359,mixed,0,180427,14565
F0150,9862264,mixed,0,178371,12060
F0151,1958379,rcc,0,368946,7990
F0152,6268961,mixed,0,51012,9210
F0153,5027187,mixed,0,130193,8845
F0154,6888852,rcc,0,218168,13285
F0155,8138780,rcc,0,148178,5189
F0156,7326981,rcc,0,58123,6689
F0157,1006464,mixed,0,111825,8095
F0158,4725530,mixed,0,533008,5875
F0159,2161140,mixed,1,168733,11768
F0160,4613163,rcc,0,224970,7406
F0161,7485671,wooden,0,224866,13979
F0162,6790233,mixed,1,150862,7932
F0163,1265039,wooden,0,582943,13799
F0164,3076259,rcc,0,178446,12240
F0165,6161545,mixed,0,181143,9408
F0166,7324758,wooden,0,296956,7861
F0167,2396102,mixed,2,313045,11406
F0168,1004011,mixed,0,60186,14372
F0169,2964724,mixed,0,122066,6833
F0170,9821549,wooden,0,390508,9285
F0171,3708685,rcc,0,36160,13589
F0172,7814285,mixed,0,19156,11645
F0173,1603151,rcc,2,76208,13023
F0174,8372801,rcc,0,473196,14889
F0175,8364732,wooden,0,465536,8777
F0176,9111184,wooden,0,459822,6735
F0177,8285387,rcc,0,231226,12273
F0178,6102367,mixed,0,455775,12278
F0179,5500328,wooden,1,447421,10368
F0180,5308307,mixed,0,461691,14255
F0181,5444910,mixed,0,305007,4821
F0182,1731636,mixed,0,65439,11525
F0183,7481093,rcc,0,212986,4162
F0184,1686290,mixed,0,197286,11777
F0185,8553925,rcc,0,492508,14589
F0186,4216662,rcc,0,29777,5932
F0187,7871574,mixed,0,256427,14920
F0188,3364825,mixed,1,420661,7535
F0189,3180139,mixed,0,198110,9956
F0190,4719194,mixed,0,349345,7446
F0191,4283737,rcc,0,414627,6790
F0192,2432672,mixed,0,278011,6707
F0193,1564174,mixed,2,586789,11959
F0194,2622563,rcc,0,145338,7933
F0195,6857846,wooden,0,501754,7385
F0196,7841023,wooden,0,424429,10636
F0197,3465596,rcc,1,559650,4922
F0198,8718454,wooden,0,250449,12089
F0199,5405113,rcc,0,313732,14367
F0200,2413967,mixed,0,169357,13774
