policy_id,property_value,property_age,construction_type,claims_count,claims_amount,earned_premium
HO0001,4201473,34,wooden,0,173860,9855
HO0002,7507660,18,wooden,0,115945,5294
HO0003,2449991,11,rcc,1,213456,11263
HO0004,7039523,15,rcc,0,308974,7482
HO0005,6353966,42,mixed,0,52446,3698
HO0006,7747741,9,rcc,0,498294,10243
HO0007,6168554,24,wooden,0,408376,8918
HO0008,1424528,19,mixed,1,187655,3348
HO0009,8990001,30,wooden,0,427214,8374
HO0010,7450219,3,rcc,1,420446,10869
HO0011,2650824,43,mixed,1,140148,3307
HO0012,6265481,22,wooden,0,69341,6416
HO0013,7702692,1,mixed,1,31085,7820
HO0014,9527835,21,mixed,1,317715,6558
HO0015,2773055,36,rcc,1,407931,7478
HO0016,6192859,7,wooden,1,390452,9531
HO0017,1281854,6,mixed,0,5750,7620
HO0018,7662314,13,mixed,1,376075,5985
HO0019,6830395,2,wooden,0,340912,11112
HO0020,2657153,49,mixed,1,35903,11467
HO0021,8083610,15,mixed,0,203561,5547
HO0022,8842680,18,mixed,1,425309,3336
HO0023,2806684,17,wooden,1,91036,5979
HO0024,2809858,15,wooden,0,87954,6968
HO0025,1479083,7,wooden,0,427530,3910
HO0026,2901740,32,wooden,0,441441,4996
HO0027,6648393,48,rcc,0,481201,6129
HO0028,7284725,11,mixed,1,345158,8447
HO0029,8752950,10,wooden,0,428395,9129
HO0030,7709914,4,mixed,0,117305,8850
HO0031,8395873,26,mixed,0,418554,7204
HO0032,5584946,11,rcc,0,485651,10446
HO0033,9343199,16,wooden,0,200753,11519
HO0034,5301400,5,wooden,0,32101,3314
HO0035,5641094,32,mixed,0,2775,4134
HO0036,3707184,4,wooden,0,111497,7876
HO0037,8873491,27,mixed,0,490399,11102
HO0038,4770771,13,mixed,0,45619,11347
HO0039,2540724,4,rcc,1,439054,8592
HO0040,6875293,32,rcc,0,252388,4724
HO0041,2965730,49,rcc,1,412755,6343
HO0042,8343728,47,mixed,0,233346,3886
HO0043,8097037,40,wooden,1,319268,3721
HO0044,5062224,18,rcc,1,65149,10678
HO0045,2094316,21,wooden,0,26616,6357
HO0046,5300915,4,rcc,0,472871,3870
HO0047,7760403,1,rcc,0,221767,9751
HO0048,7620241,29,mixed,0,185639,3497
HO0049,2636675,46,rcc,0,168171,4756
HO0050,1801849,38,rcc,0,206903,4117
HO0051,2161068,3,mixed,0,231318,5828
HO0052,8370131,32,wooden,0,323943,4647
HO0053,2035891,12,rcc,0,352365,9992
HO0054,1753494,19,mixed,1,377023,9771
HO0055,9811785,6,rcc,1,287623,3142
HO0056,8611432,14,mixed,0,439388,5761
HO0057,4704697,22,wooden,0,361309,6435
HO0058,6277420,13,wooden,0,55863,9622
HO0059,6327580,22,mixed,0,173115,10069
HO0060,8272003,18,mixed,0,344713,7512
HO0061,2760511,28,mixed,0,495654,4848
HO0062,4541815,19,wooden,0,408624,5696
HO0063,9434610,28,rcc,0,253347,4717
HO0064,8389844,23,wooden,0,189052,6072
HO0065,5610146,17,mixed,0,476172,5786
HO0066,5139289,9,mixed,0,278495,6791
HO0067,6351826,40,wooden,1,135203,6871
HO0068,7390459,7,mixed,0,247908,4806
HO0069,2784006,25,wooden,0,306969,4504
HO0070,7072310,28,mixed,0,273493,6308
HO0071,5913478,9,rcc,0,192003,10117
HO0072,9303143,16,rcc,0,306398,8048
HO0073,7353300,1,mixed,0,300369,11263
HO0074,6968333,5,wooden,0,497599,4690
HO0075,7210958,4,rcc,0,274597,6303
HO0076,7601457,27,wooden,0,149886,6113
HO0077,7679155,40,mixed,0,149335,10850
HO0078,6737580,4,wooden,1,77694,9416
HO0079,6525724,17,rcc,0,15735,4504
HO0080,7025095,25,wooden,1,409046,11924
HO0081,1225391,19,wooden,0,310037,6924
HO0082,7698541,40,mixed,0,175745,11615
HO0083,1191387,48,mixed,0,389150,7485
HO0084,4632632,26,mixed,0,220534,11100
HO0085,5608474,48,rcc,0,45066,11684
HO0086,3535394,11,rcc,0,231387,3191
HO0087,6596526,6,mixed,2,134445,11690
HO0088,4291070,2,mixed,1,403551,7917
HO0089,1686268,9,rcc,0,416957,8831
HO0090,1801955,33,rcc,0,272836,7322
HO0091,3013148,24,rcc,0,440511,9999
HO0092,7835735,34,rcc,0,45541,10282
HO0093,5467223,15,mixed,1,165129,4874
HO0094,3444291,1,rcc,0,66983,7763
HO0095,1147745,23,mixed,0,150655,11464
HO0096,4792824,9,wooden,0,153837,4051
HO0097,1137686,37,wooden,1,190359,10538
HO0098,6250295,21,rcc,0,417122,10411
HO0099,5151923,25,wooden,1,382891,9320
HO0100,6679980,42,wooden,0,347247,5105
HO0101,6149534,38,wooden,0,210747,3307
HO0102,4314344,26,rcc,1,177597,10737
HO0103,1049976,28,rcc,1,169302,6359
HO0104,3522620,46,wooden,0,412736,6176
HO0105,3027320,37,mixed,2,478454,4251
HO0106,2812105,19,wooden,1,445150,8366
HO0107,6761703,26,rcc,0,287710,4517
HO0108,2947238,40,rcc,0,335337,9226
HO0109,7330034,19,rcc,0,496440,8305
HO0110,5809045,43,wooden,0,423350,8869
HO0111,9597467,18,mixed,1,403561,11039
HO0112,7402891,19,rcc,0,252084,7891
HO0113,8031845,34,rcc,1,121015,7992
HO0114,6394418,46,wooden,0,172257,4961
HO0115,1045475,1,mixed,0,246536,5863
HO0116,9080552,29,wooden,0,224021,9603
HO0117,4303364,33,rcc,0,130956,7567
HO0118,6396364,21,mixed,0,70744,9513
HO0119,4239254,2,mixed,0,295599,7005
HO0120,2099577,5,rcc,0,421234,3183
HO0121,7483485,14,mixed,1,316363,10755
HO0122,5623037,26,mixed,0,308135,6358
HO0123,7959972,9,wooden,2,73616,9615
HO0124,8232024,8,rcc,2,87438,9797
HO0125,2602970,32,rcc,0,116841,11728
HO0126,9191922,31,rcc,0,140558,10678
HO0127,9274125,47,rcc,0,169934,8698
HO0128,2531064,5,rcc,0,252734,4273
HO0129,5411887,40,mixed,0,58870,9653
HO0130,9615797,35,wooden,2,86694,4096
HO0131,3076198,1,rcc,0,237068,11002
HO0132,8466511,28,wooden,0,306000,7247
HO0133,2468919,3,wooden,0,101407,8314
HO0134,4281941,0,mixed,0,493960,6354
HO0135,4410580,18,rcc,0,479271,3270
HO0136,5999111,25,mixed,0,31379,4186
HO0137,4685104,24,rcc,1,326873,9305
HO0138,8659791,9,mixed,0,421594,5398
HO0139,2420858,14,wooden,0,236500,9995
HO0140,2748982,21,rcc,0,54353,10299
HO0141,7563614,47,wooden,0,181068,7182
HO0142,5896799,20,wooden,1,276175,5230
HO0143,9466685,21,mixed,0,211144,9511
HO0144,8479816,35,rcc,0,65982,3128
HO0145,7007509,33,wooden,0,36683,6672
HO0146,5445818,29,mixed,0,114091,7765
HO0147,6122964,24,rcc,0,117797,6970
HO0148,7433636,44,rcc,0,410834,10545
HO0149,5095077,27,wooden,0,6587,8552
HO0150,7263998,0,rcc,0,324934,3627
HO0151,5630232,48,wooden,0,293624,9589
HO0152,1920114,44,rcc,1,229602,5044
HO0153,9990499,3,mixed,0,151599,5341
HO0154,9147047,6,wooden,0,285713,8884
HO0155,3182926,48,wooden,0,273295,11185
HO0156,3485670,8,rcc,0,464310,3249
HO0157,4344250,35,rcc,0,190246,5925
HO0158,5023278,18,wooden,0,44739,8043
HO0159,1537977,0,rcc,1,32954,3974
HO0160,4668280,9,mixed,1,243935,10192
HO0161,3723408,35,rcc,2,109373,5672
HO0162,5784808,8,mixed,1,428519,10279
HO0163,7637640,44,mixed,1,34700,10531
HO0164,7837388,45,mixed,0,486252,11662
HO0165,5654419,41,mixed,0,123728,4987
HO0166,9430899,31,mixed,1,460784,3090
HO0167,5622580,31,rcc,0,328932,11721
HO0168,5589058,5,mixed,1,71045,7059
HO0169,8245136,47,rcc,0,431058,5773
HO0170,9379966,37,mixed,0,144972,11383
HO0171,3122827,16,wooden,0,390136,10409
HO0172,8432300,9,mixed,0,342203,7440
HO0173,8637174,49,wooden,0,1881,10347
HO0174,1708672,26,mixed,1,426253,4008
HO0175,7921154,49,mixed,0,394846,6783
HO0176,9725977,34,mixed,0,282933,9646
HO0177,5507167,20,wooden,0,388227,7298
HO0178,3227039,24,wooden,0,88059,7668
HO0179,1296063,27,mixed,0,214566,7287
HO0180,2383875,46,rcc,0,308295,5052
HO0181,7625169,14,mixed,1,442136,9009
HO0182,2876336,3,wooden,2,109388,4716
HO0183,8541586,28,mixed,1,198303,3310
HO0184,4956778,8,wooden,0,473573,7538
HO0185,3887757,26,wooden,0,265406,4260
HO0186,3468665,25,wooden,0,329125,6932
HO0187,7472973,18,mixed,0,383095,3584
HO0188,1692924,27,wooden,0,385243,10616
HO0189,3570115,16,wooden,0,81972,11551
HO0190,2661655,42,mixed,0,337629,5866
HO0191,8499066,40,wooden,1,54722,8898
HO0192,5672412,41,mixed,0,351643,5011
HO0193,4100498,49,wooden,0,181890,9251
HO0194,8181479,19,rcc,0,423148,7939
HO0195,4811666,44,rcc,0,269045,7006
HO0196,4819712,39,wooden,1,117473,4625
HO0197,2033668,38,rcc,0,492239,3890
HO0198,8712079,48,mixed,1,270741,9078
HO0199,6604327,22,rcc,0,391775,10036
HO0200,3473199,46,wooden,0,326053,11923
