policy_id,vehicle_type,vehicle_age,vehicle_value,claims_count,claims_amount,earned_premium
M0001,bike,8,176209,0,81929,3049
M0002,car,9,492061,1,127959,7640
M0003,bike,13,239004,0,76153,5216
M0004,bike,8,666412,0,75388,5981
M0005,bike,14,665947,1,31401,9398
M0006,car,6,214134,0,119503,8048
M0007,bike,3,125713,0,127834,3793
M0008,car,4,792623,0,34084,6337
M0009,car,0,538972,0,110641,9258
M0010,bike,13,125418,0,105111,8293
M0011,bike,0,178232,0,138299,9138
M0012,bike,2,570551,0,36041,9493
M0013,car,12,213038,0,88920,7507
M0014,bike,13,980491,0,65681,7042
M0015,car,7,218383,0,81571,7856
M0016,car,13,868007,1,127556,9933
M0017,bike,1,375996,0,26160,8880
M0018,bike,3,308722,0,17633,3885
M0019,car,1,182079,0,17014,5768
M0020,car,13,252053,0,80532,2171
M0021,car,4,650530,1,49104,1663
M0022,bike,8,228589,1,77231,6092
M0023,car,0,553238,0,68388,6295
M0024,bike,4,79257,1,16014,6298
M0025,car,13,530488,1,92578,7536
M0026,car,14,485423,0,40390,3855
M0027,bike,8,194353,1,23711,7387
M0028,car,14,373390,1,91658,9461
M0029,bike,0,313579,1,57993,7327
M0030,bike,8,279947,0,7421,6219
M0031,car,7,281758,0,17727,2093
M0032,bike,3,665645,1,112418,6339
M0033,bike,11,207732,0,4358,8894
M0034,car,10,972588,0,65108,4993
M0035,bike,9,981011,0,94018,7664
M0036,bike,4,777955,1,124457,4172
M0037,bike,12,658095,1,31910,5700
M0038,car,4,488755,0,126888,1516
M0039,bike,10,952385,1,55754,4691
M0040,car,11,188563,0,109847,1892
M0041,car,5,833066,0,38467,7772
M0042,bike,6,556047,1,148697,2071
M0043,bike,7,755552,2,33893,5131
M0044,bike,14,960229,0,76329,7672
M0045,car,13,376032,1,31007,8677
M0046,bike,7,647897,0,54253,9933
M0047,bike,10,845509,0,12323,5397
M0048,bike,13,822800,0,111335,9623
M0049,bike,12,303973,1,112356,3779
M0050,bike,1,333097,1,110944,8951
M0051,car,8,426826,0,145282,2275
M0052,car,6,564257,0,16456,8369
M0053,bike,3,904321,1,31367,3747
M0054,bike,3,729181,1,54624,8588
M0055,bike,10,480783,0,141178,1578
M0056,bike,7,165374,1,68008,9580
M0057,car,3,599148,2,125926,8599
M0058,bike,12,726555,0,115395,5426
M0059,car,14,651763,0,116492,8840
M0060,car,5,534090,1,72240,8583
M0061,bike,4,923698,0,64315,7730
M0062,car,2,726787,0,10756,6440
M0063,car,12,937164,1,36378,4771
M0064,car,13,339227,1,135327,4956
M0065,car,9,792406,0,145556,9288
M0066,bike,10,893804,0,125703,9150
M0067,bike,1,698074,1,56549,4211
M0068,car,8,582101,1,73794,3168
M0069,bike,9,81598,0,45113,1647
M0070,bike,8,555934,1,74069,7920
M0071,bike,0,832239,0,136321,1865
M0072,bike,9,667394,0,125541,6031
M0073,bike,2,339226,0,9686,6830
M0074,car,7,865673,0,53363,7010
M0075,bike,5,277286,0,97543,7993
M0076,bike,4,487785,1,131733,6939
M0077,bike,4,61745,0,95673,8011
M0078,bike,5,862461,0,42828,9004
M0079,car,14,194097,1,48604,2746
M0080,car,6,282732,1,10526,5339
M0081,car,0,959827,0,68910,3876
M0082,car,8,719648,0,25592,4509
M0083,bike,2,663474,0,28982,3327
M0084,car,3,974044,0,207,8479
M0085,bike,9,934200,0,88733,5785
M0086,bike,0,263030,1,124982,8410
M0087,bike,12,774238,0,68619,3696
M0088,bike,10,616134,0,46479,5247
M0089,bike,9,388076,1,141826,7478
M0090,car,2,198554,0,81437,7107
M0091,car,1,335555,0,98540,2269
M0092,car,1,494191,1,72982,2280
M0093,car,13,503761,0,102747,7803
M0094,bike,0,555518,2,48231,5483
M0095,car,7,390941,1,29301,2021
M0096,bike,2,364451,0,18752,9069
M0097,car,2,970597,0,98452,7284
M0098,bike,5,334186,0,144467,6083
M0099,bike,12,627218,0,121237,7446
M0100,car,7,822944,1,56273,6441
M0101,bike,12,487629,0,91878,7767
M0102,bike,14,818747,0,4895,8628
M0103,car,8,274695,1,119968,3961
M0104,bike,8,934315,0,115700,2185
M0105,car,3,345900,0,76559,3660
M0106,car,13,103268,0,10699,8531
M0107,car,4,482430,2,9715,6841
M0108,bike,1,262943,1,19169,1538
M0109,bike,10,833204,1,118413,6375
M0110,bike,8,471818,0,147235,2756
