policy_id,trip_days,travelers,destination_type,claims_count,claims_amount,earned_premium
T0001,26,1,international,0,12720,3287
T0002,9,1,international,1,57608,3459
T0003,7,3,international,2,107449,4830
T0004,26,1,international,0,102828,981
T0005,21,4,domestic,1,126613,1373
T0006,24,2,international,0,72095,2687
T0007,15,4,domestic,1,105924,2694
T0008,2,2,domestic,0,96452,2993
T0009,23,3,domestic,0,87593,1670
T0010,20,2,domestic,0,166964,4640
T0011,25,1,international,0,106975,2456
T0012,12,4,international,1,77242,2880
T0013,1,2,international,0,116041,4691
T0014,23,4,domestic,0,126202,2459
T0015,22,3,domestic,0,77606,3548
T0016,8,3,domestic,0,123769,4031
T0017,5,1,international,1,118542,4129
T0018,15,3,domestic,0,106438,1927
T0019,1,2,international,0,924,3772
T0020,1,3,international,0,51322,327
T0021,25,1,international,1,157550,2285
T0022,10,4,international,0,71042,4453
T0023,22,4,domestic,0,46418,1821
T0024,10,3,international,1,193289,596
T0025,21,2,domestic,0,100699,2481
T0026,15,1,international,0,90140,3702
T0027,17,2,domestic,1,11781,2596
T0028,22,1,domestic,0,136587,2897
T0029,6,3,international,0,117358,1201
T0030,3,1,international,0,36133,1398
T0031,13,1,international,0,97628,1977
T0032,16,3,domestic,0,76946,3181
T0033,8,2,international,1,85058,1678
T0034,15,3,international,1,140167,1548
T0035,17,1,domestic,0,151542,4035
T0036,17,3,international,0,43129,4541
T0037,22,1,domestic,0,8531,1564
T0038,26,3,international,1,37038,2207
T0039,13,4,domestic,0,87939,1358
T0040,17,4,domestic,0,42674,3049
T0041,6,3,international,0,127572,2348
T0042,17,2,domestic,0,29831,4548
T0043,16,1,international,1,57174,2776
T0044,14,4,international,0,11279,4316
T0045,13,2,domestic,0,169292,4903
T0046,6,1,international,0,60610,3497
T0047,3,4,domestic,1,183791,4886
T0048,14,4,domestic,0,53051,3853
T0049,14,3,domestic,0,56652,4740
T0050,15,1,domestic,0,65524,2061
T0051,8,2,domestic,0,6470,520
T0052,29,2,domestic,1,198670,4923
T0053,15,2,domestic,0,172870,3188
T0054,22,1,domestic,0,53473,1964
T0055,29,2,international,0,150952,4286
T0056,27,2,international,0,44439,4876
T0057,13,2,domestic,0,14308,3277
T0058,17,3,international,0,91563,2171
T0059,21,3,international,0,35081,1762
T0060,24,1,international,0,181455,644
T0061,3,1,international,0,9837,344
T0062,28,2,international,1,183223,2368
T0063,6,3,international,0,118128,1814
T0064,5,4,domestic,0,167896,2898
T0065,22,4,international,0,164145,1301
T0066,26,2,international,0,112651,1333
T0067,17,2,international,0,97624,2340
T0068,23,3,international,0,157371,573
T0069,25,3,domestic,0,189933,2947
T0070,2,3,domestic,0,30063,2079
T0071,26,1,domestic,0,69453,4776
T0072,15,1,domestic,0,199544,778
T0073,5,2,international,0,102166,815
T0074,26,1,domestic,0,14506,4586
T0075,20,3,domestic,0,113604,1491
T0076,6,3,domestic,0,26026,2968
T0077,6,1,domestic,0,158744,1711
T0078,27,4,international,1,169489,3580
T0079,18,2,domestic,0,52413,571
T0080,18,4,international,0,65066,442
T0081,4,2,domestic,0,190285,3632
T0082,17,4,international,0,50971,1087
T0083,25,1,international,1,158353,1981
T0084,14,2,domestic,0,113978,922
T0085,14,2,domestic,0,159163,4141
T0086,13,2,domestic,0,50494,3976
T0087,7,3,domestic,0,103864,2872
T0088,12,3,international,0,149682,3560
T0089,23,4,international,1,132151,366
T0090,15,1,domestic,0,95386,4586
T0091,19,3,domestic,1,177823,4916
T0092,11,2,international,2,86126,1440
T0093,15,3,domestic,0,186504,2614
T0094,12,1,international,0,162023,2832
T0095,3,3,domestic,1,80863,3880
T0096,17,2,international,0,78291,1487
T0097,3,4,international,2,125659,4771
T0098,19,2,international,0,190944,3639
T0099,20,1,international,1,7235,848
T0100,4,4,international,1,82733,4387
T0101,3,3,domestic,0,62712,372
T0102,26,3,international,0,152545,498
T0103,16,3,domestic,0,198639,3501
T0104,12,4,international,0,125849,2081
T0105,8,2,international,0,79823,871
T0106,24,4,domestic,0,104215,1090
T0107,29,4,domestic,0,32230,1938
T0108,29,1,domestic,0,84573,2131
T0109,17,4,domestic,0,199948,2155
T0110,7,3,international,0,40644,1474
T0111,11,2,domestic,0,179736,4040
T0112,18,2,international,0,45203,3577
T0113,1,2,domestic,0,66677,478
T0114,3,3,domestic,0,156497,2544
T0115,4,3,international,0,123246,4386
T0116,13,3,international,2,84817,1034
T0117,6,3,domestic,1,69806,1098
T0118,26,3,international,0,42814,1087
T0119,14,4,international,0,70219,3095
T0120,5,3,international,0,180718,4604
T0121,16,3,international,0,170956,4888
T0122,15,3,international,0,95345,3384
T0123,15,3,international,0,100088,3218
T0124,4,2,international,0,69322,1031
T0125,8,3,international,0,21650,1429
T0126,27,4,domestic,0,94242,3746
T0127,16,4,international,0,140262,1905
T0128,28,4,domestic,0,38196,4078
T0129,16,1,international,0,170521,3045
T0130,4,2,international,0,170733,3470
T0131,13,3,international,1,29709,4989
T0132,26,1,international,0,80428,3233
T0133,28,3,domestic,0,9943,1515
T0134,13,1,domestic,0,174312,624
T0135,2,1,international,0,176832,2150
T0136,3,4,domestic,0,21042,1790
T0137,22,4,international,0,43894,1193
T0138,8,1,international,0,137941,1690
T0139,24,4,domestic,0,192150,3689
T0140,15,1,domestic,0,56759,4539
T0141,11,2,international,0,105973,4779
T0142,9,4,international,0,44306,2563
T0143,7,4,domestic,0,108369,3732
T0144,13,4,international,0,186443,2671
T0145,2,2,domestic,0,151990,3386
T0146,8,1,international,0,28379,4612
T0147,7,3,international,0,120667,1815
T0148,24,4,domestic,0,134034,3217
T0149,12,1,domestic,1,144923,2652
T0150,19,2,domestic,1,117626,1467
T0151,7,3,international,0,176819,410
T0152,10,4,international,0,125180,4627
T0153,29,2,international,0,52349,3955
T0154,25,2,international,0,187428,4093
T0155,16,3,domestic,0,145817,2055
T0156,3,1,international,0,5730,1877
T0157,10,4,international,0,144993,1596
T0158,6,4,international,0,19023,4074
T0159,18,1,domestic,1,176421,2520
T0160,18,1,international,0,126796,1272
T0161,5,1,international,0,81533,1330
T0162,21,3,domestic,0,83286,2893
T0163,29,3,international,0,41979,4292
T0164,7,4,international,1,22837,4913
T0165,28,3,domestic,0,146069,1213
T0166,2,2,international,0,104975,2481
T0167,11,4,international,0,176111,3497
T0168,13,3,international,0,20923,1762
T0169,23,1,domestic,0,8876,2678
T0170,5,2,international,1,60973,3754
T0171,6,1,international,1,133959,3853
T0172,24,4,domestic,0,194795,1607
T0173,26,1,domestic,0,42422,1489
T0174,29,3,international,0,51413,987
T0175,14,3,international,1,102484,4961
T0176,12,4,international,0,133913,1507
T0177,4,1,international,0,28756,2194
T0178,29,4,domestic,0,71576,2111
T0179,23,1,international,0,118248,3483
T0180,6,2,domestic,0,10304,4097
T0181,10,3,domestic,0,30341,1944
T0182,18,4,international,0,135830,4268
T0183,15,2,international,0,148082,3016
T0184,8,2,domestic,0,127039,490
T0185,26,4,domestic,0,191830,1635
T0186,9,4,international,1,162730,3406
T0187,5,2,domestic,0,180074,678
T0188,10,1,international,0,132447,4782
T0189,20,2,international,0,99485,4129
T0190,6,4,domestic,0,22092,915
T0191,16,2,domestic,0,131562,2630
T0192,24,1,international,0,3729,2054
T0193,27,3,domestic,0,137046,763
T0194,3,3,international,1,118222,1266
T0195,10,2,international,0,85216,4567
T0196,11,1,international,0,83860,3458
T0197,11,3,domestic,0,96870,3924
T0198,17,2,international,1,21398,989
T0199,4,2,international,0,34650,2922
T0200,4,1,international,0,152364,2512
